2) Rental Object Reference:,3) Rental Object Postcode:,4) Contract Number (Tenancy Reference):,5) Contract Start Date:,6) In the tenant’s view what was the main reason the household left their last settled home?:,"7) If you responded 'Other' to Q6, please state the main reason:",8) Was the reason for leaving a direct result of the removal of the spare room subsidy or benefit cap introduced from 2013?:,9) What was the housing situation for this household immediately before this letting?:,10) Enter Local Authority in which household lived immediately before this letting:,11) Postcode of the previous accommodation (leave blank if previous postcode is unknown or previous accommodation was temporary):,12) How long has the household continuously lived in the local authority area where the new letting is located?:,13) How long has the household been on the waiting list of the local authority district where the new letting is located?:,"14) Immediately prior to this letting, was this household…?:",15) Was the household given reasonable Preference for housing by the Local Authority?:,"16) Which of following reasonable preferences apply (tick any which are applicable, leave un-ticked if Q15 answered ""No"" or ""Don't Know"")?:","17) Was the letting made under any of the following allocations systems? (tick any which are applicable, leave un-ticked if none apply):","20) How many times has the unit been previously offered since becoming available for relet since the last tenancy ended or as a first let? 
For an Affordable Rent or Rent to Buy Letting, only include number of offers as that type. (For a property let at t",21) Reason for vacancy:
1010/106431/10000240,CH2 3LU,1010/1100075415,2/24/21,Asked to leave by family or friends,,No,Living with friends or family,Cheshire West and Chester,,2 years but under 3 years,Less than 1 year,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104720/10000017,RG1 7PQ,1010/1100075441,2/26/21,Domestic abuse,,No,Lifetime Private Registered Provider General Needs tenancy,Reading,RG30 3QF,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),5,Relet - previous tenant died (no succession)
1010/102402/10000047,HU3 2PY,1010/1100075308,2/16/21,To move to accommodation with support,,No,Living with friends or family,Wakefield,WF8 2PN,Just moved to the local authority area,Just moved to the local authority area,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/102272/10000011,HU11 5ST,1010/1100075334,2/18/21,Asked to leave by family or friends,,No,Living with friends or family,East Riding of Yorkshire,Hu18 1LG,5 years or more,Don't know,Not homeless,Don't Know,,,3,Relet - previous tenant moved to private sector or other accommodation
1010/104020/10000109,TQ5 9NT,1010/1100075439,2/26/21,Don’t Know,,Don't Know,Living with friends or family,Torbay,,Don't know,Don't know,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1020/106447/10000042,CM7 3AL,1020/1100003311,2/25/21,To move to independent accommodation,,No,Living with friends or family,Braintree,CM77 8HL,5 years or more,1 year but under 2 years,Not homeless,Don't Know,,Choice-based lettings (CBL),0,"First let of a conversion, rehabilitation or acquired property"
1010/103731/10000009,EN8 0DL,1010/1100075468,2/26/21,To move nearer to family/ friends/ school,,Don't Know,Private sector tenancy,Welwyn Hatfield,AL10 9SH,Just moved to the local authority area,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1020/103166/10000004,S13 8HJ,1020/1500000631,2/26/21,Domestic abuse,,No,Any other temporary accommodation,Sheffield,,Don't know,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - previous tenant moved to private sector or other accommodation
1010/103799/10000010,ST5 2DB,1010/1100075443,2/26/21,(Non-violent) relationship breakdown with partner,,No,Living with friends or family,Newcastle-under-Lyme,ST5 8AW,1 year but under 2 years,Don't know,Not homeless,No,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/104741/10000011,CM2 7JU,1010/1100075469,2/26/21,To move to independent accommodation,Was previously living with parents.,No,Any other temporary accommodation,Chelmsford,,Don't know,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Don't Know,,Common allocation policy (CAP),0,Relet - previous tenant died (no succession)
1010/101767/10000013,BH19 2LY,1010/1100075453,2/26/21,To move to independent accommodation,,Don't Know,Lifetime Local Authority General Needs tenancy,"Bournemouth, Christchurch and Poole",BH8 8DY,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/105774/10000014,B67 7QR ,1010/1100075451,2/26/21,Couldn't afford rent or mortgage - other,,No,Owner occupation (private),Sandwell,B71 4LL,5 years or more,Don't know,Not homeless,No,,,2,Relet - previous tenant died (no succession)
1010/104443/10000064,B33 0GF,1010/1100075427,2/26/21,To move to independent accommodation,,No,Refuge,Birmingham,B29 4LL,1 year but under 2 years,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),3,Relet - tenant moved to other social housing provider
1010/102023/10000009,LS16 6SX,1010/1100075431,2/24/21,Under occupation - no incentive,,No,Private sector tenancy,Leeds,LS17 6WD,5 years or more,1 year but under 2 years,Not homeless,Yes,A need to move to avoid hardship to themselves or others,Choice-based lettings (CBL),1,Relet - previous tenant moved to private sector or other accommodation
1010/102465/10000043,HU9 4EP,1010/1100075433,2/25/21,Asked to leave by family or friends,,No,Living with friends or family,St Albans,AL4 9TL,Just moved to the local authority area,Don't know,Not homeless,No,,,2,Relet - previous tenant died (no succession)
1010/104508/10000017,OL7 0QA,1010/1100075454,2/26/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Salford,M30 0SW,Just moved to the local authority area,Don't know,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/103886/10000896,OX16 0BU,1010/1100075422,2/26/21,Discharged from prison or from longstay hospital or other institution,,No,Bed and breakfast,Cherwell,OX26 6JU,Less than 1 year,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/103753/10000574,OX16 1QD,1010/1100075461,2/26/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Cherwell,OX16 1PS,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),1,Relet - tenant evicted due to arrears
1010/106411/10000205,CH1 5NZ,1010/1100075448,2/26/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,Cheshire West and Chester,CH2 1SH,5 years or more,1 year but under 2 years,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),2,Relet - previous tenant moved to private sector or other accommodation
1010/103886/10001688,OX16 0EX,1010/1100075396,2/24/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,Cherwell,OX16 0JY,2 years but under 3 years,Don't know,Not homeless,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/103886/10001338,OX16 0QS,1010/1100075421,2/24/21,To move nearer to family/ friends/ school,,No,Private sector tenancy,Redcar and Cleveland,TS10 1AT,Just moved to the local authority area,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant died (no succession)
1010/106744/10000001,L32 0TS,1010/1100075229,2/11/21,Property unsuitable because of ill health/ disability,,No,Living with friends or family,Knowsley,L33 4JA,5 years or more,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),19,Relet - previous tenant moved to private sector or other accommodation
1010/106537/10000017,WN8 9AX,1010/1100075399,2/24/21,To move to independent accommodation,,No,Living with friends or family,West Lancashire,PR8 5HS,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,A need to move to avoid hardship to themselves or others,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/106643/10000088,L15 8GJ,1010/1100075368,2/25/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Liverpool,L15 3AH,2 years but under 3 years,Don't know,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),5,Relet - previous tenant moved to private sector or other accommodation
1010/106685/10000014,WA9 4YL,1010/1100075398,2/23/21,To move to independent accommodation,,No,Supported housing,St. Helens,WA9 5DQ,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),15,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/106655/10000006,L9 8EW,1010/1100075361,2/22/21,To move to independent accommodation,,No,Supported housing,Liverpool,L13 3DA,5 years or more,Don't know,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),1,Relet - tenant moved to other social housing provider
1010/100370/10000005,HU3 1SW,1010/1600005856,2/26/21,Property unsuitable because of overcrowding,,No,Living with friends or family,"Kingston upon Hull, City of",HU4 7DU,Less than 1 year,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,No,,,0,Relet - tenant moved to other social housing provider
1010/101986/10000007,S62 5JL,1010/1100075408,2/24/21,Don’t Know,,No,Any other temporary accommodation,Rotherham,,5 years or more,2 years but under 3 years,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - tenant abandoned property
1010/101108/10000014,S65 4JF,1010/1100075426,2/25/21,Hate crime,,No,Lifetime Private Registered Provider General Needs tenancy,Doncaster,S64 9DN,Just moved to the local authority area,Just moved to the local authority area,Not homeless,No,,,0,Relet - previous tenant died (no succession)
1010/105012/10000012,DN4 0TX,1010/1100075412,2/25/21,To move to independent accommodation,,No,Supported housing,Doncaster,S64 9ED,5 years or more,3 years but under 4 years,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/101073/10000023,OX15 0QN,1010/1100075101,2/2/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Cherwell,OX16 5LX,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104760/10000013,OX26 4YL,1010/1100075324,2/18/21,Property unsuitable because of ill health/ disability,,No,Private sector tenancy,Cherwell,OX25 5TJ,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/103745/10000020,OX26 5DR,1010/1100075084,2/1/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Walsall,WS3 1BE,Just moved to the local authority area,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/101082/10000074,B90 3NY,1010/1100075419,2/24/21,(Non-violent) relationship breakdown with partner,,No,Any other temporary accommodation,Birmingham,B36 0NG,3 years but under 4 years,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/104663/10000087,OX25 1PJ,1010/1100075272,2/12/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,Cherwell,OX25 1AA,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1020/102092/10000011,OX25 1QU,1020/1100003294,2/19/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Cherwell,OX25 5LX,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/101951/10000097,OX5 2BY,1010/1100075168,2/5/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,Cherwell,OX5 1LR,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/102977/10000004,OX5 2XH,1010/1100075179,2/5/21,Asked to leave by family or friends,,No,Living with friends or family,South Northamptonshire,OX17 1LB,Just moved to the local authority area,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),4,Relet - previous tenant moved to private sector or other accommodation
1010/101041/10000473,OX26 2JP,1010/1100075170,2/8/21,(Non-violent) relationship breakdown with partner,,No,Living with friends or family,Cherwell,OX27 7QX,5 years or more,Less than 1 year,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104400/10000023,OX28 5AJ,1010/1100075318,2/15/21,Couldn't afford rent or mortgage - other,,Don't Know,Living with friends or family,West Oxfordshire,OX28 5LF,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/105740/10000028,HP20 1HG,1010/1100075470,2/26/21,Property unsuitable because of overcrowding,,No,Living with friends or family,Buckinghamshire,HP17 8YJ,Don't know,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL);#Common housing register (CHR);#Common allocation policy (CAP),1,Relet - previous tenant moved to private sector or other accommodation
1010/101305/10000002,DY10 1PX,1010/1600005853,2/25/21,Don’t Know,,Don't Know,Any other temporary accommodation,Wyre Forest,,2 years but under 3 years,Don't know,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Don't Know,,Common allocation policy (CAP),0,Relet - tenant moved to other social housing provider
1010/102265/10000166,CB7 4EG,1010/1600005847,2/24/21,Asked to leave by family or friends,,No,Living with friends or family,East Cambridgeshire,CB6 3YH,Don't know,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - previous tenant moved to private sector or other accommodation
1010/103435/10000027,CB6 1NE,1010/1600005858,2/24/21,Asked to leave by family or friends,,No,Living with friends or family,East Cambridgeshire,CB6 1LG,Don't know,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,Homeless or about to lose their home (within 56 days),,0,Relet - previous tenant moved to private sector or other accommodation
1010/104293/10001510,S5 0NZ,1010/1100075438,2/25/21,To move to independent accommodation,,No,Supported housing,Sheffield,S5 6FX,5 years or more,Don't know,Not homeless,Yes,,Choice-based lettings (CBL),1,Relet - previous tenant died (no succession)
1010/102387/10000036,W5 5UA,1010/1100075113,2/3/21,End of Assured Shorthold Tenancy - 'no fault',,Don't Know,Living with friends or family,Tower Hamlets,,5 years or more,5 years or more,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),1,Relet - previous tenant died (no succession)
1010/104351/10000037,BN1 6DQ,1010/1100075142,2/3/21,Permanently decanted from another property owned by this landlord,,No,Sheltered accommodation,Brighton and Hove,BN2 4NB ,5 years or more,5 years or more,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),,2,Relet - previous tenant died (no succession)
1010/105495/10000035,BN2 0YT,1010/1100075159,2/4/21,Permanently decanted from another property owned by this landlord,,No,Sheltered accommodation,Hackney,E9 5DE,5 years or more,5 years or more,Not homeless,Yes,A need to move on medical and welfare grounds (including a disability),,1,Relet - previous tenant moved to private sector or other accommodation
1010/106929/10000022,RM17 6DX,1010/1600005844,2/17/21,Left home country as refugee,,No,Rough sleeping,Thurrock,,Don't know,Don't know,Assessed as threatened with homelessness within 56 days by a local authority and owed prevention duty,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/101201/10000004,SS3 9UT,1010/1600005839,2/22/21,To move to accommodation with support,,No,Supported housing,Southend-on-Sea,SS1 2NF,5 years or more,Less than 1 year,Not homeless,No,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104341/10000025,BN3 1SJ,1010/1100075342,2/17/21,Permanently decanted from another property owned by this landlord,,No,Fixed-term Private Registered Provider General Needs tenancy,Brighton and Hove,BN3 1SJ,5 years or more,5 years or more,Not homeless,Don't Know,,,1,Relet - previous tenant moved to private sector or other accommodation
1010/101201/10000005,SS3 9UT,1010/1600005838,2/22/21,To move to accommodation with support,,No,Supported housing,Southend-on-Sea,SS1 2NF,5 years or more,Less than 1 year,Not homeless,No,,,0,Relet - tenant moved to other social housing provider
1010/103985/10000068,HA6 2PN,1010/1100075184,2/5/21,To move to independent accommodation,,No,Supported housing,Islington,N19 4NA ,2 years but under 3 years,2 years but under 3 years,Not homeless,Don't Know,Don't know,,1,Relet - previous tenant moved to private sector or other accommodation
1010/102719/10000015,CO2 8PE,1010/1600005848,2/25/21,Discharged from prison or from longstay hospital or other institution,,No,Prison / Approved Probation Hostel,Barking and Dagenham,,Just moved to the local authority area,Just moved to the local authority area,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,No,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/106930/10000013,RM17 6QA,1010/1600005855,2/25/21,Other,Management Transfer outside scheme ,No,Supported housing,Thurrock,,4 years but under 5 years,Less than 1 year,Not homeless,No,,,1,Relet - tenant moved to other social housing provider
1010/102392/10000013,HA2 8JX,1010/1100075323,2/16/21,End of Assured Shorthold Tenancy - 'no fault',,No,Sheltered accommodation,Harrow,HA2 8JX,5 years or more,5 years or more,Not homeless,Don't Know,,,1,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/104546/10000300,SW1V 4BZ,1010/1100075293,2/18/21,To move to independent accommodation,,Don't Know,Bed and breakfast,Westminster,W1T 3ER,2 years but under 3 years,2 years but under 3 years,Assessed as homeless by a local authority and owed a relief duty,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",Choice-based lettings (CBL),1,Relet - previous tenant died (no succession)
1010/102396/10000000,N22 8EL,1010/1100075218,2/9/21,Permanently decanted from another property owned by this landlord,,Don't Know,Fixed-term Private Registered Provider General Needs tenancy,Haringey,N15 3SB ,5 years or more,5 years or more,Not homeless,Don't Know,,,0,Relet - internal transfer (excluding renewals of a fixed-term tenancy)
1010/103977/10000040,N1 0LJ,1010/1100075353,2/17/21,To move to independent accommodation,,Don't Know,Supported housing,Islington,,2 years but under 3 years,2 years but under 3 years,Not homeless,Don't Know,,,1,Relet - previous tenant died (no succession)
1010/102040/10000001,CT19 5QP,1010/1100075460,2/22/21,To move to independent accommodation,,No,Supported housing,Folkestone and Hythe,CT21 6AJ,3 years but under 4 years,Don't know,Not homeless,Don't Know,,,0,Relet - previous tenant died (no succession)
1010/101794/10000067,WV10 0PF,1010/1100075310,2/16/21,To move nearer to family/ friends/ school,,No,Living with friends or family,Wolverhampton,,1 year but under 2 years,Less than 1 year,Not homeless,No,,,1,Relet - tenant abandoned property
1010/101794/10000048,WV10 0PF,1010/1100075385,2/25/21,Property unsuitable because of overcrowding,,No,Private sector tenancy,Wolverhampton,,2 years but under 3 years,Don't know,Not homeless,No,,,1,Relet - previous tenant moved to private sector or other accommodation
1010/101794/10000086,WV10 0PF,1010/1100075450,2/25/21,Asked to leave by family or friends,,No,Living with friends or family,Wolverhampton,,5 years or more,Don't know,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104428/10000010,CT9 3PS,1010/1100075459,2/26/21,Property unsuitable because of ill health/ disability,,Don't Know,Lifetime Local Authority General Needs tenancy,Thanet,CT8 8HR,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/102110/10000924,E9 5QP,1010/1100075341,2/18/21,To move to independent accommodation,,No,Any other temporary accommodation,Hackney,,1 year but under 2 years,Don't know,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104972/10000009,SE23 2SG,1010/1100075325,2/16/21,Property unsuitable because of overcrowding,,No,Lifetime Private Registered Provider General Needs tenancy,Hackney,E9 6RN,5 years or more,Don't know,Not homeless,Don't Know,,,0,"First let of a conversion, rehabilitation or acquired property"
1010/106027/10000018,HU17 9UX,1010/1100075392,2/24/21,To move to independent accommodation,,No,Living with friends or family,East Riding of Yorkshire,HU20 3US,5 years or more,Don't know,Not homeless,Don't Know,,,1,Relet - previous tenant moved to private sector or other accommodation
1010/104494/10000010,hu9 2ay,1010/1100075388,2/25/21,Property unsuitable because of ill health/ disability,,No,Owner occupation (private),"Kingston upon Hull, City of",hu7 4pj,5 years or more,Don't know,Not homeless,No,,,1,Relet - tenant moved to other social housing provider
1010/100102/10000216,hu6 9lf,1010/1100075317,2/22/21,Domestic abuse,,No,Refuge,Broxbourne,en10 6bg,Just moved to the local authority area,Just moved to the local authority area,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/104494/10000034,hu9 2ay,1010/1100075386,2/25/21,To move nearer to family/ friends/ school,,No,Lifetime Local Authority General Needs tenancy,"Kingston upon Hull, City of",hu9 4sz,5 years or more,Don't know,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/106579/10000013,SP1 1DX,1010/1600005832,2/19/21,Discharged from prison or from longstay hospital or other institution,,No,Prison / Approved Probation Hostel,Wiltshire,,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Don't Know,,Choice-based lettings (CBL),0,Relet - tenant evicted due to ASB or other reason
1010/102166/10000043,LN8 3BX,1010/1100075444,2/26/21,To move to independent accommodation,,No,Supported housing,West Lindsey,DN21 1LA,3 years but under 4 years,Less than 1 year,Not homeless,No,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104544/10000018,SW18 4DU,1010/1500001784,2/25/21,To move to accommodation with support,,No,Living with friends or family,Wandsworth,SW15 2LF,Don't know,Don't know,Not homeless,Don't Know,Don't know,,0,Relet - tenant moved to other social housing provider
1010/103578/10000020,HU9 3AR,1010/1100075432,2/26/21,To move nearer to family/ friends/ school,,No,Lifetime Private Registered Provider General Needs tenancy,"Kingston upon Hull, City of",HU3 2EG,5 years or more,Less than 1 year,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/103578/10000019,HU9 3AR,1010/1100075297,2/12/21,Asked to leave by family or friends,,No,Living with friends or family,"Kingston upon Hull, City of",HU9 4LZ,5 years or more,1 year but under 2 years,Not homeless,No,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/106579/10000012,SP1 1DX,1010/1600005850,2/25/21,(Non-violent) relationship breakdown with partner,,No,Any other temporary accommodation,Wiltshire,,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/104788/10000007,B33 9QX,1010/1100075406,2/24/21,Property unsuitable because of ill health/ disability,,Don't Know,Lifetime Private Registered Provider General Needs tenancy,Birmingham,B27 6AA,5 years or more,Don't know,Not homeless,Don't Know,,Common housing register (CHR),0,Relet - previous tenant moved to private sector or other accommodation
1020/106489/10000008,L7 0AE,1020/1100003299,2/26/21,Other problems with neighbours,,Don't Know,Fixed-term Private Registered Provider General Needs tenancy,Liverpool,,Don't know,Don't know,Not homeless,Don't Know,Don't know,Choice-based lettings (CBL),0,First let of a new build property
1010/100754/10000001,B14 5LH,1010/1100075169,2/5/21,Other,Transfer due to condition of property,No,Lifetime Private Registered Provider General Needs tenancy,Birmingham,,5 years or more,Don't know,Not homeless,No,,Common housing register (CHR),0,Relet - tenant moved to other social housing provider
1010/100402/10000041,B29 5XB,1010/1100075240,2/12/21,Property unsuitable because of ill health/ disability,,No,Lifetime Private Registered Provider General Needs tenancy,Birmingham,,5 years or more,Don't know,Not homeless,No,,,1,Relet - previous tenant died (no succession)
1010/105766/10000002,B30 2JL,1010/1100075466,2/26/21,Property unsuitable because of poor condition,,No,Lifetime Private Registered Provider General Needs tenancy,Birmingham,,5 years or more,Don't know,Not homeless,No,,Common allocation policy (CAP),0,Relet - tenant moved to other social housing provider
1010/100138/10000001,DY3 2DR,1010/1100075227,2/11/21,Property unsuitable because of ill health/ disability,,No,Living with friends or family,Dudley,,Don't know,Don't know,Not homeless,No,,Common allocation policy (CAP),2,Relet - previous tenant died (no succession)
1010/101528/10000078,DY3 2DN,1010/1100075151,2/8/21,Property unsuitable because of overcrowding,,No,Lifetime Local Authority General Needs tenancy,Dudley,,5 years or more,Don't know,Not homeless,Don't Know,,Choice-based lettings (CBL),0,Relet - previous tenant moved to private sector or other accommodation
1010/105351/10000008,LE5 1AX,1010/1100075401,2/22/21,To move to independent accommodation,,No,Lifetime Local Authority General Needs tenancy,Leicester,,5 years or more,Don't know,Not homeless,Don't Know,Don't know,Common allocation policy (CAP),1,Relet - tenant moved to other social housing provider
1010/101685/10000012,CM8 2YH,1010/1200008754,2/22/21,Discharged from prison or from longstay hospital or other institution,,No,Hospital,Colchester,,Don't know,Don't know,Not homeless,Don't Know,,,1,Relet - previous tenant moved to private sector or other accommodation
1010/102131/10000009,PO21 1AG,1010/1600005808,2/15/21,Asked to leave by family or friends,,No,Living with friends or family,Arun,,5 years or more,5 years or more,Not homeless,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/101669/10000002,RM17 6DZ,1010/1600005834,2/22/21,Asked to leave by family or friends,,No,Living with friends or family,Thurrock,RM15 5ER,Don't know,Don't know,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Don't Know,,,0,Relet - previous tenant moved to private sector or other accommodation
1010/106929/10000028,RM17 6DX,1010/1600005845,2/22/21,To move to accommodation with support,,No,Other,Thurrock,,5 years or more,Don't know,Assessed as unintentionally homeless and having a priority need by a local authority and owed by a homeless main duty,Yes,"Living in insanitary, overcrowded or unsatisfactory housing",,0,Relet - tenant moved to other social housing provider
1010/102247/10000000,SW16 2HJ,1010/1200008757,2/23/21,To move to independent accommodation,,No,Supported housing,Lambeth,,4 years but under 5 years,Don't know,Not homeless,Don't Know,,,0,Relet - tenant moved to other social housing provider
1010/105630/10000000,SN2 6BZ,1010/1600005831,2/18/21,To move to independent accommodation,,No,Sheltered accommodation,Swindon,SN1 5BZ,5 years or more,Less than 1 year,Not homeless,Don't Know,,Common allocation policy (CAP),0,Relet - previous tenant moved to private sector or other accommodation
1010/106579/10000015,SP1 1DX,1010/1600005842,2/22/21,Asked to leave by family or friends,,No,Living with friends or family,Wiltshire,,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,Homeless or about to lose their home (within 56 days),Choice-based lettings (CBL),0,Relet - tenant evicted due to ASB or other reason
1010/106579/10000016,SP1 1DX,1010/1600005833,2/23/21,Discharged from prison or from longstay hospital or other institution,,No,Living with friends or family,Wiltshire,,5 years or more,Less than 1 year,Assessed as homeless by a local authority and owed a relief duty,Yes,A need to move on medical and welfare grounds (including a disability),Choice-based lettings (CBL),0,Relet - tenant moved to other social housing provider
1010/106929/10000011,RM17 6DX,1010/1600005870,2/27/21,Couldn't afford rent or mortgage - other,,No,Fixed-term Private Registered Provider General Needs tenancy,Thurrock,,Less than 1 year,Less than 1 year,Other homelessness (i.e. not found statutorily homeless by a housing authority but considered to be homeless by the letting landlord.,Yes,A need to move to avoid hardship to themselves or others,,0,Relet - tenant moved to other social housing provider
